Folder,Subfolder,Site,Lon,Lat,Comment,Color
1st Cluster,OnAir,KIE IND GOR,30.50806,50.42364,04-12-15,green
1st Cluster,OnAir,KIE KIE AMO,30.49806,50.42,09-10-15,green
1st Cluster,OnAir,KIE KIE BOL,30.43516579,50.452056,06-11-15,green
1st Cluster,OnAir,KIE KIE BRM,30.47853,50.44819,26-10-15,green
1st Cluster,OnAir,KIE KIE CHB,30.45582915,50.42972,28-09-15,green
1st Cluster,OnAir,KIE KIE CHZ,30.4670366,50.4234461,24-11-15,green
1st Cluster,OnAir,KIE KIE EAC,30.41921915,50.454,16-10-15,green
1st Cluster,OnAir,KIE KIE ERE,30.46056,50.43417,26-10-15,green
1st Cluster,OnAir,KIE KIE FUT,30.47288879,50.43819,10-11-15,green
1st Cluster,OnAir,KIE KIE GRT,30.434111,50.448083,14-12-15,green
1st Cluster,OnAir,KIE KIE GRU,30.42944,50.45111,16-10-15,green
1st Cluster,OnAir,KIE KIE GSV,30.41972,50.44167,16-10-15,green
1st Cluster,OnAir,KIE KIE IDS,30.44332915,50.44944,16-10-15,green
1st Cluster,OnAir,KIE KIE IND,30.46072,50.44658,17-11-15,green
1st Cluster,OnAir,KIE KIE INP,30.44347,50.44492,11-11-15,green
1st Cluster,OnAir,KIE KIE ISK,30.45971915,50.43861,29-09-15,green
1st Cluster,OnAir,KIE KIE K20,30.48644,50.43011,09-12-15,green
1st Cluster,OnAir,KIE KIE K82,30.48097181,50.41369678,24-11-15,green
1st Cluster,OnAir,KIE KIE KAM,30.486611,50.403722,30-11-15,green
1st Cluster,OnAir,KIE KIE KAR,30.42527915,50.43056,14-03-16,green
1st Cluster,OnAir,KIE KIE KDR,30.48332915,50.42972,28-09-15,green
1st Cluster,OnAir,KIE KIE KIR,30.50943879,50.41194,26-10-15,green
1st Cluster,OnAir,KIE KIE KIS,30.46417,50.42917,06-11-15,green
1st Cluster,OnAir,KIE KIE KLM,30.47667,50.42278,26-10-15,green
1st Cluster,OnAir,KIE KIE KLN,30.48988879,50.41783,11-11-15,green
1st Cluster,OnAir,KIE KIE KMR,30.41889,50.43722,06-11-15,green
1st Cluster,OnAir,KIE KIE KMZ,30.44722,50.42083,28-09-15,green
1st Cluster,OnAir,KIE KIE KOM,30.40693915,50.43556,10-11-15,green
1st Cluster,OnAir,KIE KIE KPI,30.44778,50.43972,16-10-15,green
1st Cluster,OnAir,KIE KIE KSM,30.44917,50.42889,17-11-15,green
1st Cluster,OnAir,KIE KIE KUM,30.43796915,50.43825,23-12-15,green
1st Cluster,OnAir,KIE KIE LE2,30.40778,50.43889,04-12-15,green
1st Cluster,OnAir,KIE KIE LEP,30.40919,50.44492,18-11-15,green
1st Cluster,OnAir,KIE KIE LKM,30.44013915,50.442,25-11-15,green
1st Cluster,OnAir,KIE KIE LKS,30.48380879,50.43939,09-11-15,green
1st Cluster,OnAir,KIE KIE LPE,30.41056,50.43472,30-10-15,green
1st Cluster,OnAir,KIE KIE LPS,30.41221915,50.43056,16-10-15,green
1st Cluster,OnAir,KIE KIE MDG,30.45138915,50.42306,10-11-15,green
1st Cluster,OnAir,KIE KIE MKR,30.472167,50.425889,23-11-15,green
1st Cluster,OnAir,KIE KIE NAR,30.45861,50.42194,28-09-15,green
1st Cluster,OnAir,KIE KIE NPL,30.44278,50.43361,09-10-15,green
1st Cluster,OnAir,KIE KIE NTO,30.43721915,50.45556,04-11-15,green
1st Cluster,OnAir,KIE KIE OPO,30.45408,50.41356,28-09-15,green
1st Cluster,OnAir,KIE KIE OTA,30.42660915,50.42514,06-11-15,green
1st Cluster,OnAir,KIE KIE OTR,30.42639,50.41639,26-10-15,green
1st Cluster,OnAir,KIE KIE P87,30.383139,50.456778,19-11-15,green
1st Cluster,OnAir,KIE KIE PB2,30.43182879,50.45586,24-11-15,green
1st Cluster,OnAir,KIE KIE PLT,30.465,50.448361,19-11-15,green
1st Cluster,OnAir,KIE KIE PLV,30.45056,50.44472,10-11-15,green
1st Cluster,OnAir,KIE KIE POL,30.46636394,50.4508839,13-11-15,green
1st Cluster,OnAir,KIE KIE PRO,30.50313815,50.428667,13-11-15,green
1st Cluster,OnAir,KIE KIE PYL,30.46553392,50.41549102,21-03-16,green
1st Cluster,OnAir,KIE KIE RDI,30.40861,50.44778,18-11-15,green
1st Cluster,OnAir,KIE KIE RLY,30.42652715,50.444083,19-11-15,green
1st Cluster,OnAir,KIE KIE RYN,30.449889,50.436361,08-12-15,green
1st Cluster,OnAir,KIE KIE SEP,30.46071915,50.42564,12-11-15,green
1st Cluster,OnAir,KIE KIE SHL,30.44722,50.45306,16-10-15,green
1st Cluster,OnAir,KIE KIE SKA,30.47944315,50.445,12-11-15,green
1st Cluster,OnAir,KIE KIE SLG,30.50602915,50.42564,10-11-15,green
1st Cluster,OnAir,KIE KIE SLP,30.47333,50.43167,26-10-15,green
1st Cluster,OnAir,KIE KIE SME,30.44064,50.42631,26-10-15,green
1st Cluster,OnAir,KIE KIE SOV,30.49083372,50.40917067,13-11-15,green
1st Cluster,OnAir,KIE KIE SR3,30.47555915,50.43381,12-11-15,green
1st Cluster,OnAir,KIE KIE SRN,30.48194191,50.42328013,13-11-15,green
1st Cluster,OnAir,KIE KIE SUR,30.47863003,50.43500458,11-11-15,green
1st Cluster,OnAir,KIE KIE SVS,30.41497079,50.443389,07-12-15,green
1st Cluster,OnAir,KIE KIE TUR,30.46344,50.41272,13-11-15,green
1st Cluster,OnAir,KIE KIE ULT,30.49222,50.43583,16-10-15,green
1st Cluster,OnAir,KIE KIE URI,30.48436744,50.43303305,10-11-15,green
1st Cluster,OnAir,KIE KIE URS,30.489278,50.435472,30-12-15,green
1st Cluster,OnAir,KIE KIE VBG,30.43786,50.45006,28-09-15,green
1st Cluster,OnAir,KIE KIE VLG,30.49999915,50.42306,09-10-15,green
1st Cluster,OnAir,KIE KIE VLN,30.43871915,50.42044,24-12-15,green
1st Cluster,OnAir,KIE KIE VOL,30.49111,50.42628,29-10-15,green
1st Cluster,OnAir,KIE KIE VOZ,30.47733179,50.437722,28-11-15,green
1st Cluster,OnAir,KIE KIE VSL,30.42025,50.44978,21-10-15,green
1st Cluster,OnAir,KIE KIE VYB,30.44667,50.45028,16-10-15,green
1st Cluster,OnAir,KIE KIE YTR,30.4820279,50.4407822,09-10-15,green
1st Cluster,OnAir,KIE KIE ZGS,30.42944,50.44694,10-11-15,green
1st Cluster,OnAir,KIE KIE ZHU,30.43749879,50.41194,17-11-15,green
1st Cluster,Not,KIE KIE BSL,30.43375,50.43089,12-05-16,orange
1st Cluster,Not,KIE KIE E18,30.46138815,50.43625,31-03-16,orange
1st Cluster,Not,KIE KIE NVG,50.426135,30.448184,10-04-16,orange
1st Cluster,Not,KIE KIE OSR,50.43563,30.484579,05-04-16,orange
1st Cluster,Not,KIE KIE P17,50.449051,30.470462,30-04-16,orange
1st Cluster,Not,KIE KIE PGR,30.476028,50.419111,31-03-16,orange
1st Cluster,Not,KIE KIE PUL,50.417178,30.466177,14-04-16,orange
1st Cluster,Not,KIE KIE SLM,30.48930879,50.42106,29-03-16,orange
1st Cluster,Not,KIE KIE SLN,50.42727,30.476628,20-04-16,orange
1st Cluster,Not,KIE KIE TPK,30.43778,50.44525,12-05-16,orange
1st Cluster,Not,KIE KIE UKU,50.435404,30.465833,12-05-16,orange
1st Cluster,Not,KIE KIE YAB,30.44430915,50.43731,12-05-16,orange
1st Cluster,Not,KIE KIE,50.414273,30.46773,14-04-16,orange
1st Cluster,Not,KIE KIE,50.434835,30.472331,22-04-16,orange
1st Cluster,Not,KIE KIE,50.432379,30.477566,30-04-16,orange
1st Cluster,Not,KIE KIE,50.438753,30.430662,30-05-16,orange
1st Cluster,Not,KIE KIE,50.43082,30.489255,20-06-16,orange
1st Cluster,Not,KIE KIE,50.449505,30.460607,20-06-16,orange
1st Cluster,Not,KIE KIE,50.44786,30.450814,20-06-16,orange
2nd Cluster,OnAir,KIE KIE 3SV,30.52192,50.45592,16-10-15,green
2nd Cluster,OnAir,KIE KIE ALB,30.48889,50.48333,28-09-15,green
2nd Cluster,OnAir,KIE KIE AND,30.52408,50.4635,08-12-15,green
2nd Cluster,OnAir,KIE KIE ANU,30.51486359,50.45928373,02-12-15,green
2nd Cluster,OnAir,KIE KIE ART,30.48974136,50.4568622,26-10-15,green
2nd Cluster,OnAir,KIE KIE AVA,30.50705819,50.4458339,26-10-15,green
2nd Cluster,OnAir,KIE KIE B17,30.52083,50.46356,07-12-15,green
2nd Cluster,OnAir,KIE KIE BAG,30.48180915,50.46969,29-10-15,green
2nd Cluster,OnAir,KIE KIE BAK,30.45108,50.48203,13-11-15,green
2nd Cluster,OnAir,KIE KIE BGG,30.4775,50.47083,28-09-15,green
2nd Cluster,OnAir,KIE KIE BGV,30.46972,50.47167,16-10-15,green
2nd Cluster,OnAir,KIE KIE BHM,30.49806,50.44778,04-12-15,green
2nd Cluster,OnAir,KIE KIE BHT,30.49664398,50.45619085,28-09-15,green
2nd Cluster,OnAir,KIE KIE BKV,30.52010431,50.44166,16-10-15,green
2nd Cluster,OnAir,KIE KIE BLC,30.44332879,50.49472,28-09-15,green
2nd Cluster,OnAir,KIE KIE BND,30.462056,50.495,13-11-15,green
2nd Cluster,OnAir,KIE KIE BRD,30.47971915,50.45889,19-01-16,green
2nd Cluster,OnAir,KIE KIE BRL,30.44172,50.47578,26-10-15,green
2nd Cluster,OnAir,KIE KIE BRS,30.42861,50.45972,16-10-15,green
2nd Cluster,OnAir,KIE KIE BSH,30.51239285,50.44419543,23-12-15,green
2nd Cluster,OnAir,KIE KIE CRN,30.47999879,50.45167,16-10-15,green
2nd Cluster,OnAir,KIE KIE DEB,30.51511286,50.4484483,28-09-15,green
2nd Cluster,OnAir,KIE KIE DEG,30.44994,50.46628,04-12-15,green
2nd Cluster,OnAir,KIE KIE DES,30.52278,50.45861,16-10-15,green
2nd Cluster,OnAir,KIE KIE DG2,30.44472,50.4625,26-10-15,green
2nd Cluster,OnAir,KIE KIE DG3,30.45777915,50.45944,16-10-15,green
2nd Cluster,OnAir,KIE KIE DG5,30.45556,50.4625,11-11-15,green
2nd Cluster,OnAir,KIE KIE DGT,30.46083,50.46047,30-10-15,green
2nd Cluster,OnAir,KIE KIE DMT,30.51838639,50.42924933,01-12-15,green
2nd Cluster,OnAir,KIE KIE DNI,30.52502249,50.45136085,09-11-15,green
2nd Cluster,OnAir,KIE KIE DOM,30.52724845,50.45323068,28-09-15,green
2nd Cluster,OnAir,KIE KIE DOR,30.46194825,50.47000525,26-10-15,green
2nd Cluster,OnAir,KIE KIE DPF,30.52367,50.45122,28-09-15,green
2nd Cluster,OnAir,KIE KIE DSP,30.5229978,50.43755238,04-12-15,green
2nd Cluster,OnAir,KIE KIE DST,30.52,50.4575,23-12-15,green
2nd Cluster,OnAir,KIE KIE DUB,30.43278,50.47833,24-11-15,green
2nd Cluster,OnAir,KIE KIE DVZ,30.450917,50.459778,27-11-15,green
2nd Cluster,OnAir,KIE KIE ELE,30.50569315,50.476333,04-12-15,green
2nd Cluster,OnAir,KIE KIE FRL,30.51492,50.46264,02-12-15,green
2nd Cluster,OnAir,KIE KIE FRU,30.47361,50.48583,16-10-15,green
2nd Cluster,OnAir,KIE KIE FRY,30.515111,50.4318901,06-11-15,green
2nd Cluster,OnAir,KIE KIE FRZ,30.47583,50.48306,28-09-15,green
2nd Cluster,OnAir,KIE KIE GAY,30.49693915,50.43833,28-09-15,green
2nd Cluster,OnAir,KIE KIE GBU,30.50492,50.46289,13-11-15,green
2nd Cluster,OnAir,KIE KIE GLB,30.49889,50.4625,28-09-15,green
2nd Cluster,OnAir,KIE KIE GLY,30.49131,50.46297,28-09-15,green
2nd Cluster,OnAir,KIE KIE GOG,30.49889,50.45417,29-09-15,green
2nd Cluster,OnAir,KIE KIE GRX,30.49361,50.44961,09-10-15,green
2nd Cluster,OnAir,KIE KIE GYD,30.50027915,50.43556,28-09-15,green
2nd Cluster,OnAir,KIE KIE HAY,30.51897574,50.45294542,23-11-15,green
2nd Cluster,OnAir,KIE KIE HLB,30.52027915,50.43556,04-12-15,green
2nd Cluster,OnAir,KIE KIE HME,30.513,50.445861,13-11-15,green
2nd Cluster,OnAir,KIE KIE HOS,30.52986103,50.43272762,16-10-15,green
2nd Cluster,OnAir,KIE KIE HRZ,30.46255915,50.47425,21-10-15,green
2nd Cluster,OnAir,KIE KIE ILI,30.52133,50.46497,20-10-15,green
2nd Cluster,OnAir,KIE KIE INI,30.42461,50.46178,28-09-15,green
2nd Cluster,OnAir,KIE KIE IVF,30.5095225,50.44747305,16-10-15,green
2nd Cluster,OnAir,KIE KIE JIL,30.49498704,50.44065188,06-11-15,green
2nd Cluster,OnAir,KIE KIE K44,30.51577879,50.43708,30-10-15,green
2nd Cluster,OnAir,KIE KIE KCB,30.49943879,50.44539,28-09-15,green
2nd Cluster,OnAir,KIE KIE KDU,30.49797,50.45825,28-09-15,green
2nd Cluster,OnAir,KIE KIE KGB,30.5119682,50.45153373,30-10-15,green
2nd Cluster,OnAir,KIE KIE KML,30.52256,50.46894,02-12-15,green
2nd Cluster,OnAir,KIE KIE KMP,30.45738729,50.483667,08-12-15,green
2nd Cluster,OnAir,KIE KIE KOO,30.5090331,50.43591085,28-09-15,green
2nd Cluster,OnAir,KIE KIE KOP,30.46888779,50.485389,26-11-15,green
2nd Cluster,OnAir,KIE KIE KOR,30.5143836,50.4301722,25-11-15,green
2nd Cluster,OnAir,KIE KIE KRE,30.51966357,50.44894238,13-11-15,green
2nd Cluster,OnAir,KIE KIE KSS,30.50474825,50.44852763,02-12-15,green
2nd Cluster,OnAir,KIE KIE KST,30.52463317,50.4532761,06-11-15,green
2nd Cluster,OnAir,KIE KIE KUR,30.44722,50.48028,19-11-15,green
2nd Cluster,OnAir,KIE KIE LTP,30.51697362,50.4400259,19-11-15,green
2nd Cluster,OnAir,KIE KIE LVI,30.50528,50.4575,02-12-15,green
2nd Cluster,OnAir,KIE KIE LVZ,30.50182711,50.4588361,28-09-15,green
2nd Cluster,OnAir,KIE KIE M25,30.51138718,50.46866667,15-02-16,green
2nd Cluster,OnAir,KIE KIE MAR,30.50861015,50.441,13-11-15,green
2nd Cluster,OnAir,KIE KIE MEL,30.47472,50.46556,16-10-15,green
2nd Cluster,OnAir,KIE KIE MHA,30.52202643,50.45372085,01-03-16,green
2nd Cluster,OnAir,KIE KIE MIH,30.51705137,50.45454033,01-12-15,green
2nd Cluster,OnAir,KIE KIE MRV,30.47389,50.4975,28-09-15,green
2nd Cluster,OnAir,KIE KIE NAB,30.52666915,50.45806,09-10-15,green
2nd Cluster,OnAir,KIE KIE NAG,30.48427692,50.47158,16-10-15,green
2nd Cluster,OnAir,KIE KIE NHL,30.45647,50.47308,26-10-15,green
2nd Cluster,OnAir,KIE KIE NKS,30.485,50.48306,28-09-15,green
2nd Cluster,OnAir,KIE KIE NL1,30.52167,50.47278,09-10-15,green
2nd Cluster,OnAir,KIE KIE NL2,30.51139,50.47639,28-09-15,green
2nd Cluster,OnAir,KIE KIE NLG,30.51277915,50.47111,24-11-15,green
2nd Cluster,OnAir,KIE KIE NPB,30.52528,50.46,22-12-15,green
2nd Cluster,OnAir,KIE KIE NUR,30.49536026,50.46577778,28-12-15,green
2nd Cluster,OnAir,KIE KIE NVK,30.49405515,50.478583,30-12-15,green
2nd Cluster,OnAir,KIE KIE OGN,30.50644464,50.4511339,02-12-15,green
2nd Cluster,OnAir,KIE KIE OPR,30.50000285,50.44805848,04-12-15,green
2nd Cluster,OnAir,KIE KIE PAN,30.50279894,50.4406378,29-09-15,green
2nd Cluster,OnAir,KIE KIE PAT,30.51361639,50.4275239,09-10-15,green
2nd Cluster,OnAir,KIE KIE PB6,30.48667,50.44592,05-10-15,green
2nd Cluster,OnAir,KIE KIE PBD,30.43831,50.45983,28-09-15,green
2nd Cluster,OnAir,KIE KIE PHA,30.51997,50.46264,16-10-15,green
2nd Cluster,OnAir,KIE KIE PIB,30.51929891,50.45181373,21-10-15,green
2nd Cluster,OnAir,KIE KIE PIR,30.50453286,50.44725,27-11-15,green
2nd Cluster,OnAir,KIE KIE PKK,30.47,50.49083,28-09-15,green
2nd Cluster,OnAir,KIE KIE PLS,30.51794,50.44233,04-12-15,green
2nd Cluster,OnAir,KIE KIE PLZ,30.52205284,50.44141543,11-11-15,green
2nd Cluster,OnAir,KIE KIE PM8,30.49211,50.45842,13-11-15,green
2nd Cluster,OnAir,KIE KIE PMN,30.49377679,50.46103611,09-11-15,green
2nd Cluster,OnAir,KIE KIE PNR,30.51319359,50.45568049,10-11-15,green
2nd Cluster,OnAir,KIE KIE POD,30.5175,50.46639,10-04-16,green
2nd Cluster,OnAir,KIE KIE PTL,30.49711015,50.444083,24-11-15,green
2nd Cluster,OnAir,KIE KIE PUS,30.51806,50.44583,26-10-15,green
2nd Cluster,OnAir,KIE KIE RST,30.52092,50.43911,02-12-15,green
2nd Cluster,OnAir,KIE KIE RYB,30.53388879,50.47778,04-12-15,green
2nd Cluster,OnAir,KIE KIE RYM,30.52616404,50.47524695,09-10-15,green
2nd Cluster,OnAir,KIE KIE S13,30.609389,50.513917,22-12-15,green
2nd Cluster,OnAir,KIE KIE SAK,30.51335821,50.43458322,29-10-15,green
2nd Cluster,OnAir,KIE KIE SAS,30.51008682,50.45136457,29-10-15,green
2nd Cluster,OnAir,KIE KIE SCH,30.44042,50.47022,29-10-15,green
2nd Cluster,OnAir,KIE KIE SGD,30.52144,50.46167,16-10-15,green
2nd Cluster,OnAir,KIE KIE SHO,30.47633504,50.45322763,16-10-15,green
2nd Cluster,OnAir,KIE KIE SHR,30.51749879,50.4375,10-11-15,green
2nd Cluster,OnAir,KIE KIE SHU,30.44193915,50.45806,09-10-15,green
2nd Cluster,OnAir,KIE KIE SIE,30.52269823,50.4266983,25-11-15,green
2nd Cluster,OnAir,KIE KIE SKG,30.501667,50.439389,09-12-15,green
2nd Cluster,OnAir,KIE KIE SKL,30.46627679,50.494389,04-12-15,green
2nd Cluster,OnAir,KIE KIE SKS,30.50443879,50.4375,12-11-15,green
2nd Cluster,OnAir,KIE KIE SKV,30.516889,50.473639,31-03-16,green
2nd Cluster,OnAir,KIE KIE SMR,30.43694,50.46278,29-09-15,green
2nd Cluster,OnAir,KIE KIE SPO,30.5186664,50.43178678,28-09-15,green
2nd Cluster,OnAir,KIE KIE SST,30.48527715,50.459306,28-01-16,green
2nd Cluster,OnAir,KIE KIE STH,30.52861,50.42806,16-10-15,green
2nd Cluster,OnAir,KIE KIE SYR,30.45611,50.48972,28-09-15,green
2nd Cluster,OnAir,KIE KIE T39,30.453778,50.47975,08-12-15,green
2nd Cluster,OnAir,KIE KIE T61,30.46161,50.48228,08-12-15,green
2nd Cluster,OnAir,KIE KIE T77,30.50833179,50.47075,15-02-16,green
2nd Cluster,OnAir,KIE KIE TAR,30.50771915,50.44022,04-12-15,green
2nd Cluster,OnAir,KIE KIE TAT,30.47450335,50.47041561,27-11-15,green
2nd Cluster,OnAir,KIE KIE TGN,30.4925,50.45139,29-09-15,green
2nd Cluster,OnAir,KIE KIE TN8,30.42683215,50.466139,29-01-16,green
2nd Cluster,OnAir,KIE KIE TOL,30.4994239,50.44277848,23-12-15,green
2nd Cluster,OnAir,KIE KIE TPP,30.50568915,50.45489,02-12-15,green
2nd Cluster,OnAir,KIE KIE TRE,30.515,50.44556,30-09-15,green
2nd Cluster,OnAir,KIE KIE TRG,30.48952464,50.45499627,07-12-15,green
2nd Cluster,OnAir,KIE KIE TRH,30.47849915,50.48708,26-10-15,green
2nd Cluster,OnAir,KIE KIE TRS,30.50433923,50.4337283,16-10-15,green
2nd Cluster,OnAir,KIE KIE TYR,30.514778,50.473861,17-11-15,green
2nd Cluster,OnAir,KIE KIE URF,30.51930804,50.47100153,02-12-15,green
2nd Cluster,OnAir,KIE KIE URK,30.49917,50.47222,28-09-15,green
2nd Cluster,OnAir,KIE KIE USA,30.43347,50.46511,27-11-15,green
2nd Cluster,OnAir,KIE KIE UUK,30.49167,50.44611,01-12-15,green
2nd Cluster,OnAir,KIE KIE VKZ,30.49111,50.44028,09-11-15,green
2nd Cluster,OnAir,KIE KIE VL2,30.51380749,50.4478878,20-11-15,green
2nd Cluster,OnAir,KIE KIE VLA,30.50919671,50.4385,28-09-15,green
2nd Cluster,OnAir,KIE KIE VLH,30.51139,50.47278,02-12-15,green
2nd Cluster,OnAir,KIE KIE VO2,30.48833,50.44306,01-12-15,green
2nd Cluster,OnAir,KIE KIE VOK,30.4925,50.44389,06-11-15,green
2nd Cluster,OnAir,KIE KIE VOR,30.49950405,50.45141695,19-11-15,green
2nd Cluster,OnAir,KIE KIE VV2,30.50806,50.46139,16-10-15,green
2nd Cluster,OnAir,KIE KIE X44,30.51936,50.44397,30-10-15,green
2nd Cluster,OnAir,KIE KIE XPR,30.501222,50.446222,02-12-15,green
2nd Cluster,OnAir,KIE KIE Y33,30.50610879,50.45389,28-09-15,green
2nd Cluster,OnAir,KIE KIE YVA,30.51275394,50.45022458,28-09-15,green
2nd Cluster,OnAir,KIE KIE YVL,30.50974915,50.454028,02-12-15,green
2nd Cluster,OnAir,KIE KIE ZHM,30.51119468,50.46458373,28-09-15,green
2nd Cluster,OnAir,KIE KIE ZLT,30.48546714,50.45158153,09-10-15,green
2nd Cluster,OnAir,KIE KIE ZOO,30.47056,50.4625,04-12-15,green
2nd Cluster,OnAir,KIE KIE ZUM,30.52174548,50.44271848,02-12-15,green
2nd Cluster,Not,KIE KIE 84T,50.468696,30.48735,15-04-16,orange
2nd Cluster,Not,KIE KIE AN1,50.425688,30.515764,25-04-16,orange
2nd Cluster,Not,KIE KIE ANV,30.51492,50.42339,25-04-16,orange
2nd Cluster,Not,KIE KIE AVO,50.437852,30.511872,31-03-16,orange
2nd Cluster,Not,KIE KIE BG1,30.52182784,50.4498561,15-05-16,orange
2nd Cluster,Not,KIE KIE DMI,30.48777715,50.455833,31-03-16,orange
2nd Cluster,Not,KIE KIE INR,30.50877715,50.432361,30-04-16,orange
2nd Cluster,Not,KIE KIE K32,30.520583,50.447028,20-04-16,orange
2nd Cluster,Not,KIE KIE KON,50.469265,30.506267,31-03-16,orange
2nd Cluster,Not,KIE KIE KTZ,50.453763,30.520603,25-04-16,orange
2nd Cluster,Not,KIE KIE LAB,30.51388915,50.42481,25-04-16,orange
2nd Cluster,Not,KIE KIE LKV,0,1,18-04-16,orange
2nd Cluster,Not,KIE KIE MEZ,30.504056,50.473667,25-05-16,orange
2nd Cluster,Not,KIE KIE MRB,30.47847079,50.455083,25-04-16,orange
2nd Cluster,Not,KIE KIE MTE,30.51706,50.44839,28-05-16,orange
2nd Cluster,Not,KIE KIE O29,50.472266,30.508284,10-05-16,orange
2nd Cluster,Not,KIE KIE OBS,50.453486,30.502532,29-04-16,orange
2nd Cluster,Not,KIE KIE P08,50.461581,30.516721,29-04-16,orange
2nd Cluster,Not,KIE KIE P22,30.47138815,50.450806,30-04-16,orange
2nd Cluster,Not,KIE KIE PAV,30.488139,50.452694,20-05-16,orange
2nd Cluster,Not,KIE KIE PRH,30.52580915,50.43589,30-04-16,orange
2nd Cluster,Not,KIE KIE PRS,30.52056,50.42444,23-03-16,orange
2nd Cluster,Not,KIE KIE PSK,30.51942,50.44617,31-03-16,orange
2nd Cluster,Not,KIE KIE SPS,50.46544,30.516056,25-05-16,orange
2nd Cluster,Not,KIE KIE SRS,30.532528,50.428278,31-03-16,orange
2nd Cluster,Not,KIE KIE T85,50.470358,30.505196,30-04-16,orange
2nd Cluster,Not,KIE KIE TT9,50.465545,30.485166,20-05-16,orange
2nd Cluster,Not,KIE KIE UNI,50.4421819,30.50998344,30-05-16,orange
2nd Cluster,Not,KIE KIE V15,30.45805829,50.38514,21-04-16,orange
2nd Cluster,Not,KIE KIE V5A,50.456529,30.519122,29-04-16,orange
2nd Cluster,Not,KIE KIE VAT,50.438871,30.498745,14-05-16,orange
2nd Cluster,Not,KIE KIE VDM,30.51625,50.45667,10-05-16,orange
2nd Cluster,Not,KIE KIE VLK,30.51769315,50.424917,15-06-16,orange
2nd Cluster,Not,KIE KIE VS1,50.423893,30.517642,25-04-16,orange
2nd Cluster,Not,KIE KIE YAZ,30.51869315,50.426778,28-04-16,orange
2nd Cluster,Not,KIE KIE ZHI,30.52133215,50.452667,31-03-16,orange
2nd Cluster,Not,KIE KIE,50.439679,30.514956,14-05-16,orange
2nd Cluster,Not,KIE KIE,50.454385,30.484483,25-05-16,orange
2nd Cluster,Not,KIE KIE,50.461495,30.474664,27-05-16,orange
2nd Cluster,Not,KIE KIE,50.45131333,30.51583401,29-05-16,orange
2nd Cluster,Not,KIE KIE,50.456927,30.50171,30-05-16,orange
2nd Cluster,Not,KIE KIE,50.454611,30.46017,30-05-16,orange
2nd Cluster,Not,KIE KIE,50.454837,30.494032,20-06-16,orange
2nd Cluster,Not,KIE KIE,50.454719,30.471858,20-06-16,orange
3rd Cluster,OnAir,KIE BOR LEN,30.69608,50.38525,04-01-16,green
3rd Cluster,OnAir,KIE IND AVR,30.59424915,50.485,21-12-15,green
3rd Cluster,OnAir,KIE IND IKN,30.51943915,50.45556,08-12-15,green
3rd Cluster,OnAir,KIE KIE 40L,30.49582915,50.3875,29-09-15,green
3rd Cluster,OnAir,KIE KIE 40Z,30.48546879,50.38672,31-03-16,green
3rd Cluster,OnAir,KIE KIE 4AL,30.32053,50.45086,10-12-15,green
3rd Cluster,OnAir,KIE KIE AFN,30.67221879,50.53389,04-12-15,green
3rd Cluster,OnAir,KIE KIE AGR,30.48774879,50.380556,08-12-15,green
3rd Cluster,OnAir,KIE KIE AKV,30.50917,50.51639,26-10-15,green
3rd Cluster,OnAir,KIE KIE ALC,30.48667,50.48972,04-12-15,green
3rd Cluster,OnAir,KIE KIE AMB,30.40533,50.48897,17-11-15,green
3rd Cluster,OnAir,KIE KIE AMU,30.4825,50.39333,02-12-15,green
3rd Cluster,OnAir,KIE KIE APR,30.36805915,50.42414,08-02-16,green
3rd Cluster,OnAir,KIE KIE ATK,30.39694,50.4525,28-09-15,green
3rd Cluster,OnAir,KIE KIE AVZ,30.4572235,50.51082932,26-10-15,green
3rd Cluster,OnAir,KIE KIE AZV,30.45306,50.51639,29-09-15,green
3rd Cluster,OnAir,KIE KIE B61,30.605,50.52044,23-12-15,green
3rd Cluster,OnAir,KIE KIE B79,30.60594,50.52767,23-12-15,green
3rd Cluster,OnAir,KIE KIE B84,30.61369315,50.526861,19-01-16,green
3rd Cluster,OnAir,KIE KIE B91,30.60790016,50.53205915,10-11-15,green
3rd Cluster,OnAir,KIE KIE BA1,30.60110915,50.51361,29-09-15,green
3rd Cluster,OnAir,KIE KIE BA2,30.60389,50.51556,28-09-15,green
3rd Cluster,OnAir,KIE KIE BA3,30.60944,50.51944,16-10-15,green
3rd Cluster,OnAir,KIE KIE BEL,30.33527915,50.49278,03-11-15,green
3rd Cluster,OnAir,KIE KIE BG2,30.49166915,50.54333,15-02-16,green
3rd Cluster,OnAir,KIE KIE BGT,30.48222,50.5125,28-09-15,green
3rd Cluster,OnAir,KIE KIE BKL,30.328306,50.489722,21-03-16,green
3rd Cluster,OnAir,KIE KIE BLH,30.355,50.47194,04-12-15,green
3rd Cluster,OnAir,KIE KIE BLZ,30.57666915,50.50222,21-10-15,green
3rd Cluster,OnAir,KIE KIE BRH,30.39431,50.43278,19-01-16,green
3rd Cluster,OnAir,KIE KIE BRK,30.361556,50.51625,27-11-15,green
3rd Cluster,OnAir,KIE KIE BST,30.4373275,50.51711457,28-09-15,green
3rd Cluster,OnAir,KIE KIE BTL,30.61117,50.49039,28-09-15,green
3rd Cluster,OnAir,KIE KIE BUB,30.50193879,50.39222,29-01-16,green
